first_name,second_name,team,element_type,total_points
Mauro,Zárate,18,4,0
Ben,Watson,18,3,12
Jerome,Sinclair,18,4,4
Richarlison,de Andrade,18,3,125
André,Carrillo,18,3,64
Orestis,Karnezis,18,1,47
Marvin,Zeegelaar,18,2,28
Michael,Folivi,18,4,0
Daniel,Bachmann,18,1,0
Gerard,Deulofeu,18,3,25
Carl,Stewart,18,3,0
Dodi,Lukebakio,18,3,1
Didier,Ndong,18,3,0
Joy,Mukena,18,2,0
Kieran,Gibbs,19,2,86
Gareth,Barry,19,3,56
Daniel,Sturridge,19,4,32
Boaz,Myhill,19,1,1
Ben,Foster,19,1,123
Allan-Roméo,Nyom,19,2,70
Jonny,Evans,19,2,78
Craig,Dawson,19,2,87
Gareth,McAuley,19,2,8
Jake,Livermore,19,3,89
Nacer,Chadli,19,3,15
James,Morrison,19,3,13
Claudio,Yacob,19,3,23
James,McClean,19,3,45
Jonathan,Leko,19,3,0
Matt,Phillips,19,3,81
Sam,Field,19,3,23
Chris,Brunt,19,3,81
Salomón,Rondón,19,4,103
Hal,Robson-Kanu,19,4,32
Jay,Rodriguez,19,4,109
Ahmed El-Sayed,Hegazi,19,2,114
Rekeem,Harper,19,3,1
Kane,Wilson,19,2,0
Oliver,Burke,19,3,23
Grzegorz,Krychowiak,19,3,58
Alex,Palmer,19,1,0
Max,Melbourne,19,2,0
Rayhaan,Tulloch,19,4,0
Nathan,Ferguson,19,2,0
Ali,Gabr,19,2,0
Kyle,Jameson,19,2,0
Marko,Arnautovic,20,3,144
Adrián,San Miguel del Castillo,20,1,72
Darren,Randolph,20,1,0
Jose,Fonte,20,2,34
James,Collins,20,2,36
Winston,Reid,20,2,42
Aaron,Cresswell,20,2,118
Angelo,Ogbonna,20,2,77
Sam,Byram,20,2,5
Arthur,Masuaku,20,2,68
Pablo,Zabaleta,20,2,90
Robert,Snodgrass,20,3,0
Mark,Noble,20,3,84
Cheikhou,Kouyaté,20,3,86
Pedro,Obiang,20,3,54
Manuel,Lanzini,20,3,106
Michail,Antonio,20,3,62
Sofiane,Feghouli,20,3,0
Edimilson,Fernandes,20,3,29
Andy,Carroll,20,4,36
Diafra,Sakho,20,4,24
Ashley,Fletcher,20,4,0
Enner,Valencia,20,4,0
Joe,Hart,20,1,59
Javier,Hernández Balcázar,20,4,93
Declan,Rice,20,2,41
Sead,Haksabanovic,20,3,0
Antonio,Martinez Lopez,20,4,0
Domingos,Quina,20,3,0
Ben,Johnson,20,3,0
Nathan,Trott,20,1,0
Moses,Makasi,20,3,0
Reece,Burke,20,2,0
Josh,Cullen,20,3,2
João Mário,Naval Costa Eduardo,20,3,46
Reece,Oxford,20,2,1
Jordan,Hugill,20,4,3
Patrice,Evra,20,2,2
Marcus,Browne,20,3,0
Josh,Pask,20,2,0
Grady,Diangana,20,3,0
